Start,End,Name,Label
00:00:00.345,00:02:05.342,Покой,
00:02:19.921,00:03:37.446,Рассказ о себе,
00:03:40.302,00:05:18.733,Хобби,
00:05:29.383,00:05:40.963,Обман_1,0
00:05:44.054,00:06:04.007,Обман_2,0
00:06:08.818,00:06:12.626,Обман_3,0
00:06:15.983,00:06:33.074,Обман_4,0
00:06:36.681,00:07:02.232,Обман_5,0
00:07:05.851,00:07:07.606,Обман_6,1
00:07:11.130,00:07:13.464,Обман_7,1
00:07:16.036,00:07:19.016,Обман_8,1
00:07:22.654,00:07:30.287,Обман_9,0
00:07:34.484,00:07:54.537,Обман_11,0
00:07:58.484,00:08:07.985,Обман_11,0
00:08:09.562,00:08:18.874,Обман_12,0
00:08:24.098,00:08:26.070,Обман_13,1
00:08:30.158,00:08:31.748,Обман_14,1
00:08:36.100,00:08:38.790,Обман_15,1
00:08:49.555,00:08:54.518,Алкоголь_1,0
00:08:57.666,00:09:38.934,Алкоголь_2,0
00:09:42.699,00:10:05.068,Алкоголь_3,0
00:10:08.851,00:10:19.117,Алкоголь_4,0
00:10:21.542,00:10:35.403,Алкоголь_5,0
00:10:38.130,00:10:39.908,Алкоголь_6,0
00:10:41.800,00:10:43.503,Алкоголь_7,0
00:10:48.897,00:11:05.859,Алкоголь_8,0
00:11:09.570,00:11:26.103,Алкоголь_9,0
00:11:32.048,00:11:46.394,Алкоголь_10,0
00:11:54.263,00:12:01.165,Алкоголь_11,0
00:12:04.919,00:12:13.322,Алкоголь_12,0
00:12:20.605,00:12:34.121,Конфликт_1,0
00:12:38.378,00:12:41.577,Конфликт_2,0
00:12:44.180,00:12:59.669,Конфликт_3,0
00:13:03.407,00:13:09.919,Конфликт_4,0
00:13:12.087,00:13:19.531,Конфликт_5,0
00:13:22.346,00:13:24.638,Конфликт_6,1
00:13:26.928,00:13:30.974,Конфликт_7,1
00:13:33.766,00:13:37.151,Конфликт_8,1
00:13:41.734,00:14:10.197,Конфликт_9,0
00:14:14.172,00:14:22.870,Конфликт_10,0
00:14:26.039,00:15:00.563,Конфликт_11,0
00:15:02.947,00:15:06.032,Конфликт_12,12
00:15:11.338,00:15:14.449,Конфликт_13,1
00:15:17.777,00:15:24.524,Конфликт_14,1
00:15:33.079,00:16:27.257,Обратная связь,
